id,title,brand,short_description,category,color,rating,price,image_url
0,Nike Brown Shoes,Nike,"Brown shoes by Nike, stylish and comfortable.",Shoes,Brown,3.8,12418,https://picsum.photos/seed/100/400/300
1,Reebok Pink Outerwear,Reebok,"Pink outerwear by Reebok, stylish and comfortable.",Outerwear,Pink,4.7,12127,https://picsum.photos/seed/101/400/300
2,Zara Grey Bottoms,Zara,"Grey bottoms by Zara, stylish and comfortable.",Bottoms,Grey,3.8,11478,https://picsum.photos/seed/102/400/300
3,Uniqlo White Bottoms,Uniqlo,"White bottoms by Uniqlo, stylish and comfortable.",Bottoms,White,3.9,10544,https://picsum.photos/seed/103/400/300
4,Puma Red Sneakers,Puma,"Red sneakers by Puma, stylish and comfortable.",Sneakers,Red,4.3,495,https://picsum.photos/seed/104/400/300
5,Levi's Pink Bags,Levi's,"Pink bags by Levi's, stylish and comfortable.",Bags,Pink,4.7,11582,https://picsum.photos/seed/105/400/300
6,Prada White Outerwear,Prada,"White outerwear by Prada, stylish and comfortable.",Outerwear,White,3.7,5744,https://picsum.photos/seed/106/400/300
7,Adidas Green Accessories,Adidas,"Green accessories by Adidas, stylish and comfortable.",Accessories,Green,3.8,7078,https://picsum.photos/seed/107/400/300
8,Zara Pink Shoes,Zara,"Pink shoes by Zara, stylish and comfortable.",Shoes,Pink,4.8,780,https://picsum.photos/seed/108/400/300
9,Nike Brown Sneakers,Nike,"Brown sneakers by Nike, stylish and comfortable.",Sneakers,Brown,4.6,5745,https://picsum.photos/seed/109/400/300
10,Adidas White Shoes,Adidas,"White shoes by Adidas, stylish and comfortable.",Shoes,White,3.2,3762,https://picsum.photos/seed/110/400/300
11,Puma Beige Tops,Puma,"Beige tops by Puma, stylish and comfortable.",Tops,Beige,3.1,13990,https://picsum.photos/seed/111/400/300
12,Zara Brown Bottoms,Zara,"Brown bottoms by Zara, stylish and comfortable.",Bottoms,Brown,4.0,928,https://picsum.photos/seed/112/400/300
13,Adidas Blue Shoes,Adidas,"Blue shoes by Adidas, stylish and comfortable.",Shoes,Blue,3.1,12925,https://picsum.photos/seed/113/400/300
14,Prada Brown Shoes,Prada,"Brown shoes by Prada, stylish and comfortable.",Shoes,Brown,3.6,11637,https://picsum.photos/seed/114/400/300
15,Nike Beige Dresses,Nike,"Beige dresses by Nike, stylish and comfortable.",Dresses,Beige,4.9,5122,https://picsum.photos/seed/115/400/300
16,Puma White Outerwear,Puma,"White outerwear by Puma, stylish and comfortable.",Outerwear,White,3.8,465,https://picsum.photos/seed/116/400/300
17,Nike White Accessories,Nike,"White accessories by Nike, stylish and comfortable.",Accessories,White,3.9,6953,https://picsum.photos/seed/117/400/300
18,Adidas Blue Bags,Adidas,"Blue bags by Adidas, stylish and comfortable.",Bags,Blue,4.8,10554,https://picsum.photos/seed/118/400/300
19,Uniqlo Yellow Tops,Uniqlo,"Yellow tops by Uniqlo, stylish and comfortable.",Tops,Yellow,4.6,8128,https://picsum.photos/seed/119/400/300
20,Gucci Pink Shoes,Gucci,"Pink shoes by Gucci, stylish and comfortable.",Shoes,Pink,4.3,13327,https://picsum.photos/seed/120/400/300
21,Adidas Red Bottoms,Adidas,"Red bottoms by Adidas, stylish and comfortable.",Bottoms,Red,4.1,2270,https://picsum.photos/seed/121/400/300
22,H&M Beige Bags,H&M,"Beige bags by H&M, stylish and comfortable.",Bags,Beige,3.7,13087,https://picsum.photos/seed/122/400/300
23,Prada Yellow Outerwear,Prada,"Yellow outerwear by Prada, stylish and comfortable.",Outerwear,Yellow,3.9,3630,https://picsum.photos/seed/123/400/300
24,H&M Blue Electronics,H&M,"Blue electronics by H&M, stylish and comfortable.",Electronics,Blue,4.3,1336,https://picsum.photos/seed/124/400/300
25,Zara Green Electronics,Zara,"Green electronics by Zara, stylish and comfortable.",Electronics,Green,4.2,11242,https://picsum.photos/seed/125/400/300
26,Nike White Outerwear,Nike,"White outerwear by Nike, stylish and comfortable.",Outerwear,White,3.5,1333,https://picsum.photos/seed/126/400/300
27,Reebok Red Accessories,Reebok,"Red accessories by Reebok, stylish and comfortable.",Accessories,Red,3.2,8003,https://picsum.photos/seed/127/400/300
28,Zara Red Bottoms,Zara,"Red bottoms by Zara, stylish and comfortable.",Bottoms,Red,3.3,3270,https://picsum.photos/seed/128/400/300
29,Puma Blue Bags,Puma,"Blue bags by Puma, stylish and comfortable.",Bags,Blue,3.5,14030,https://picsum.photos/seed/129/400/300
30,Prada Yellow Dresses,Prada,"Yellow dresses by Prada, stylish and comfortable.",Dresses,Yellow,4.8,2355,https://picsum.photos/seed/130/400/300
31,Puma Green Dresses,Puma,"Green dresses by Puma, stylish and comfortable.",Dresses,Green,3.5,3950,https://picsum.photos/seed/131/400/300
32,Reebok Yellow Bags,Reebok,"Yellow bags by Reebok, stylish and comfortable.",Bags,Yellow,3.8,3586,https://picsum.photos/seed/132/400/300
33,Nike Black Accessories,Nike,"Black accessories by Nike, stylish and comfortable.",Accessories,Black,3.6,11176,https://picsum.photos/seed/133/400/300
34,Puma Beige Electronics,Puma,"Beige electronics by Puma, stylish and comfortable.",Electronics,Beige,4.5,3171,https://picsum.photos/seed/134/400/300
35,Gucci Green Electronics,Gucci,"Green electronics by Gucci, stylish and comfortable.",Electronics,Green,3.4,3370,https://picsum.photos/seed/135/400/300
36,Nike Beige Dresses,Nike,"Beige dresses by Nike, stylish and comfortable.",Dresses,Beige,4.3,13393,https://picsum.photos/seed/136/400/300
37,Uniqlo Pink Dresses,Uniqlo,"Pink dresses by Uniqlo, stylish and comfortable.",Dresses,Pink,3.3,7259,https://picsum.photos/seed/137/400/300
38,Reebok Black Electronics,Reebok,"Black electronics by Reebok, stylish and comfortable.",Electronics,Black,4.6,9887,https://picsum.photos/seed/138/400/300
39,Nike Blue Sneakers,Nike,"Blue sneakers by Nike, stylish and comfortable.",Sneakers,Blue,3.1,4160,https://picsum.photos/seed/139/400/300
40,H&M Pink Accessories,H&M,"Pink accessories by H&M, stylish and comfortable.",Accessories,Pink,4.7,6820,https://picsum.photos/seed/140/400/300
41,Uniqlo Pink Accessories,Uniqlo,"Pink accessories by Uniqlo, stylish and comfortable.",Accessories,Pink,3.4,11931,https://picsum.photos/seed/141/400/300
42,Prada Blue Bottoms,Prada,"Blue bottoms by Prada, stylish and comfortable.",Bottoms,Blue,4.3,7367,https://picsum.photos/seed/142/400/300
43,Prada Brown Dresses,Prada,"Brown dresses by Prada, stylish and comfortable.",Dresses,Brown,4.4,6442,https://picsum.photos/seed/143/400/300
44,H&M Brown Shoes,H&M,"Brown shoes by H&M, stylish and comfortable.",Shoes,Brown,3.1,11510,https://picsum.photos/seed/144/400/300
45,H&M Pink Dresses,H&M,"Pink dresses by H&M, stylish and comfortable.",Dresses,Pink,4.2,8050,https://picsum.photos/seed/145/400/300
46,Zara White Outerwear,Zara,"White outerwear by Zara, stylish and comfortable.",Outerwear,White,3.6,8718,https://picsum.photos/seed/146/400/300
47,H&M Green Bags,H&M,"Green bags by H&M, stylish and comfortable.",Bags,Green,3.7,14268,https://picsum.photos/seed/147/400/300
48,H&M Red Tops,H&M,"Red tops by H&M, stylish and comfortable.",Tops,Red,4.9,8551,https://picsum.photos/seed/148/400/300
49,Puma Blue Sneakers,Puma,"Blue sneakers by Puma, stylish and comfortable.",Sneakers,Blue,3.1,12650,https://picsum.photos/seed/149/400/300
